# Chunk-averaged data for fix 11 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount v_temp
20000000 3200 9600
  1 0.0025 0.03125 3 0
  2 0.0025 0.09375 3 0
  3 0.0025 0.15625 3 0
  4 0.0025 0.21875 3 0
  5 0.0025 0.28125 3 0
  6 0.0025 0.34375 3 0
  7 0.0025 0.40625 3 0
  8 0.0025 0.46875 3 0
  9 0.0025 0.53125 3 0
  10 0.0025 0.59375 3 0
  11 0.0025 0.65625 3 0
  12 0.0025 0.71875 3 0
  13 0.0025 0.78125 3 0
  14 0.0025 0.84375 3 0
  15 0.0025 0.90625 3 0
  16 0.0025 0.96875 3 0
  17 0.0075 0.03125 3 0
  18 0.0075 0.09375 3 0
  19 0.0075 0.15625 3 0
  20 0.0075 0.21875 3 0
  21 0.0075 0.28125 3 0
  22 0.0075 0.34375 3 0
  23 0.0075 0.40625 3 0
  24 0.0075 0.46875 3 0
  25 0.0075 0.53125 3 0
  26 0.0075 0.59375 3 0
  27 0.0075 0.65625 3 0
  28 0.0075 0.71875 3 0
  29 0.0075 0.78125 3 0
  30 0.0075 0.84375 3 0
  31 0.0075 0.90625 3 0
  32 0.0075 0.96875 3 0
  33 0.0125 0.03125 3 310.419
  34 0.0125 0.09375 3 310.188
  35 0.0125 0.15625 3 309.964
  36 0.0125 0.21875 3 309.651
  37 0.0125 0.28125 3 310.213
  38 0.0125 0.34375 3 310.317
  39 0.0125 0.40625 3 310.265
  40 0.0125 0.46875 3 310.686
  41 0.0125 0.53125 3 310.314
  42 0.0125 0.59375 3 309.807
  43 0.0125 0.65625 3 310.115
  44 0.0125 0.71875 3 310.302
  45 0.0125 0.78125 3 310.619
  46 0.0125 0.84375 3 309.865
  47 0.0125 0.90625 3 309.943
  48 0.0125 0.96875 3 310.666
  49 0.0175 0.03125 3 309.709
  50 0.0175 0.09375 3 310.144
  51 0.0175 0.15625 3 309.963
  52 0.0175 0.21875 3 309.846
  53 0.0175 0.28125 3 309.717
  54 0.0175 0.34375 3 309.546
  55 0.0175 0.40625 3 309.944
  56 0.0175 0.46875 3 309.709
  57 0.0175 0.53125 3 309.954
  58 0.0175 0.59375 3 310.15
  59 0.0175 0.65625 3 309.736
  60 0.0175 0.71875 3 310.116
  61 0.0175 0.78125 3 309.559
  62 0.0175 0.84375 3 309.87
  63 0.0175 0.90625 3 309.616
  64 0.0175 0.96875 3 310.085
  65 0.0225 0.03125 3 308.768
  66 0.0225 0.09375 3 309.488
  67 0.0225 0.15625 3 309.353
  68 0.0225 0.21875 3 309.412
  69 0.0225 0.28125 3 307.734
  70 0.0225 0.34375 3 307.775
  71 0.0225 0.40625 3 307.844
  72 0.0225 0.46875 3 307.776
  73 0.0225 0.53125 3 308.294
