Angle      (n,m)      Number of Aotm
0.0      (0,0)     0
60.0      (0,1)     32
60.0      (0,2)     128
60.0      (0,3)     288
60.0      (0,4)     512
60.0      (0,5)     800
60.0      (0,6)     1152
60.0      (0,7)     1568
60.0      (0,8)     2048
60.0      (0,9)     2592
60.0      (0,10)     3200
60.0      (1,0)     32
0.0      (1,1)     96
21.787      (1,2)     224
32.204      (1,3)     416
38.213      (1,4)     672
42.103      (1,5)     992
44.822      (1,6)     1376
46.826      (1,7)     1824
48.365      (1,8)     2336
49.583      (1,9)     2912
50.57      (1,10)     3552
60.0      (2,0)     128
21.787      (2,1)     224
0.0      (2,2)     384
13.174      (2,3)     608
21.787      (2,4)     896
27.796      (2,5)     1248
32.204      (2,6)     1664
35.567      (2,7)     2144
38.213      (2,8)     2688
40.347      (2,9)     3296
42.103      (2,10)     3968
60.0      (3,0)     288
32.204      (3,1)     416
13.174      (3,2)     608
0.0      (3,3)     864
9.43      (3,4)     1184
16.426      (3,5)     1568
21.787      (3,6)     2016
26.008      (3,7)     2528
29.409      (3,8)     3104
32.204      (3,9)     3744
34.539      (3,10)     4448
60.0      (4,0)     512
38.213      (4,1)     672
21.787      (4,2)     896
9.43      (4,3)     1184
0.0      (4,4)     1536
7.341      (4,5)     1952
13.174      (4,6)     2432
17.897      (4,7)     2976
21.787      (4,8)     3584
25.04      (4,9)     4256
27.796      (4,10)     4992
60.0      (5,0)     800
42.103      (5,1)     992
27.796      (5,2)     1248
16.426      (5,3)     1568
7.341      (5,4)     1952
0.0      (5,5)     2400
6.009      (5,6)     2912
10.993      (5,7)     3488
15.178      (5,8)     4128
18.734      (5,9)     4832
21.787      (5,10)     5600
60.0      (6,0)     1152
44.822      (6,1)     1376
32.204      (6,2)     1664
21.787      (6,3)     2016
13.174      (6,4)     2432
6.009      (6,5)     2912
0.0      (6,6)     3456
5.086      (6,7)     4064
9.43      (6,8)     4736
13.174      (6,9)     5472
16.426      (6,10)     6272
60.0      (7,0)     1568
46.826      (7,1)     1824
35.567      (7,2)     2144
26.008      (7,3)     2528
17.897      (7,4)     2976
10.993      (7,5)     3488
5.086      (7,6)     4064
0.0      (7,7)     4704
4.408      (7,8)     5408
8.256      (7,9)     6176
11.635      (7,10)     7008
60.0      (8,0)     2048
48.365      (8,1)     2336
38.213      (8,2)     2688
29.409      (8,3)     3104
21.787      (8,4)     3584
15.178      (8,5)     4128
9.43      (8,6)     4736
4.408      (8,7)     5408
0.0      (8,8)     6144
3.89      (8,9)     6944
7.341      (8,10)     7808
60.0      (9,0)     2592
49.583      (9,1)     2912
40.347      (9,2)     3296
32.204      (9,3)     3744
25.04      (9,4)     4256
18.734      (9,5)     4832
13.174      (9,6)     5472
8.256      (9,7)     6176
3.89      (9,8)     6944
0.0      (9,9)     7776
3.481      (9,10)     8672
60.0      (10,0)     3200
50.57      (10,1)     3552
42.103      (10,2)     3968
34.539      (10,3)     4448
27.796      (10,4)     4992
21.787      (10,5)     5600
16.426      (10,6)     6272
11.635      (10,7)     7008
7.341      (10,8)     7808
3.481      (10,9)     8672
0.0      (10,10)     9600
