ITEM: TIMESTEP
10010
ITEM: NUMBER OF ATOMS
800
ITEM: BOX BOUNDS pp pp pp
-2.5944702560629246e-01 8.6474470256062332e+00
-7.0800209028248489e+00 2.5003987090282470e+02
-5.4400000000000004e+00 1.4560000000000000e+01
ITEM: ATOMS id vz vx vy 
3 2.73482 5.18381 -0.688955 
10 2.74855 10.034 3.86144 
4 -3.89721 -1.30424 -0.356725 
13 -2.37065 -5.74806 2.25145 
9 1.5379 4.54631 3.83875 
11 3.18274 8.92308 2.03679 
12 2.16621 4.3302 2.35936 
15 -6.52594 -9.22576 1.93882 
16 -4.43404 -12.183 -0.0959427 
1 2.96643 -0.0333214 5.87781 
2 -0.660767 0.449134 -0.469105 
19 -0.68847 4.58631 1.57469 
5 -0.507178 -1.79966 -1.61161 
20 4.76614 5.64104 4.09914 
6 -2.12686 -5.28876 -6.1685 
23 1.92335 -4.70427 1.0553 
24 1.52608 -0.927376 -4.57519 
26 -4.19163 1.51013 -1.42953 
27 -2.21651 -0.221464 9.18214 
29 4.85299 -2.79434 -3.91149 
28 5.78628 0.44447 -5.16405 
30 -1.44092 -1.72793 -7.79314 
31 -2.26839 -3.88609 0.931543 
32 0.737291 -2.93503 5.1929 
25 0.506322 3.91328 4.89809 
18 9.17991 1.10277 -7.41387 
35 -1.39322 -1.17281 3.36881 
21 -5.01502 -3.2732 0.443669 
36 1.11212 -5.77341 -0.718915 
22 0.115289 -4.08226 5.29291 
39 1.82285 -1.13518 -5.22199 
17 8.26194 3.43389 -0.0863546 
40 0.595549 -0.230815 -3.99756 
45 6.66358 0.460129 1.00927 
46 1.02647 -3.63115 -1.08618 
41 2.94553 3.63464 1.39896 
7 1.07869 -3.00051 -10.1275 
14 3.61629 -0.893216 4.94493 
8 -1.1803 6.5708 -1.33166 
42 -3.18991 1.28309 4.35742 
43 0.48682 3.29666 -1.35524 
44 2.9286 -1.09319 4.83897 
47 10.7572 -0.793063 3.43522 
48 -3.44724 2.09201 5.67667 
34 -0.495189 -5.71761 -0.490688 
37 0.0827396 1.43392 -0.562985 
38 -0.873907 -2.08337 2.31252 
33 -1.8554 8.54706 -1.84847 
58 -7.70059 -5.99178 -2.85209 
51 2.2183 6.69046 2.41298 
61 -4.32827 -13.1868 3.09156 
52 -4.81451 7.42909 -1.11117 
62 7.3574 -3.03192 -6.81058 
55 -3.42722 -1.44364 4.933 
57 1.01436 1.63422 -5.33109 
