Time  E1  E2
0  -0  -0
100000  -101.680713671702  102.63204877058
200000  -197.770769081594  196.380631032936
300000  -269.13816119874  267.882196520747
400000  -344.378663618244  345.912755006191
500000  -423.947768821354  425.408082011616
600000  -498.203897895742  498.003517286974
700000  -574.005500136892  573.713467488865
800000  -652.443024911817  652.063517740215
900000  -738.400420274786  736.131855212237
1000000  -818.840767438272  821.863271065823
1100000  -894.283969017334  892.527602346948
1200000  -972.214775028578  975.265869554087
1300000  -1053.91309065821  1049.52797344159
1400000  -1142.26157522465  1138.93854066585
1500000  -1232.88683742831  1233.60692565579
1600000  -1311.87909732276  1308.08296462705
1700000  -1387.54148417846  1387.54585740731
1800000  -1464.50851481154  1466.0393482959
1900000  -1562.94654074669  1565.3015904041
2000000  -1643.07395412253  1643.71986675732
2100000  -1713.7784338184  1716.82444861376
2200000  -1811.23500287416  1813.27115817415
2300000  -1884.32402081254  1886.13643650295
2400000  -1954.66078438297  1957.13561109523
2500000  -2030.66574709105  2030.88870827858
2600000  -2114.8341809495  2117.81500135995
2700000  -2191.93400249927  2194.37923996441
2800000  -2277.91678535927  2280.14156954373
2900000  -2346.1115630932  2346.31369238118
3000000  -2444.00872045185  2444.73681086224
3100000  -2519.73556661916  2518.45457243156
3200000  -2601.11769480437  2599.4661433889
3300000  -2675.17670574086  2673.83040765793
3400000  -2758.64531456589  2755.70913841809
3500000  -2838.28267150004  2838.48274335219
3600000  -2909.12366857574  2909.65946872061
3700000  -2981.37478538799  2980.75242313881
3800000  -3072.33071877532  3075.5154247319
3900000  -3162.57701550918  3164.85588423983
4000000  -3245.47089853031  3246.86499438841
4100000  -3327.77218145742  3321.8322210814
4200000  -3409.36836410939  3407.10334096497
4300000  -3489.17420874014  3490.00588228496
4400000  -3573.47634157525  3575.37432736992
4500000  -3658.84064665681  3654.90432724185
4600000  -3731.03036565848  3732.63375991818
4700000  -3808.8198928931  3809.61907752411
4800000  -3887.96940143451  3889.09053735994
4900000  -3963.86346423338  3962.36011998166
5000000  -4045.44249900156  4048.10209240067
5100000  -4127.33055869581  4129.54877378944
5200000  -4229.46601201958  4228.64703163673
5300000  -4314.69280311936  4312.55669078686
5400000  -4397.24880125251  4395.3046141647
5500000  -4484.01197891797  4482.87080028335
5600000  -4562.34313513384  4561.2605082746
5700000  -4646.07642796187  4645.67610749602
5800000  -4719.94711901777  4717.56758669692
5900000  -4802.7609046579  4802.04535202826
6000000  -4870.65468402496  4871.56855865308
6100000  -4953.92623732845  4951.71060479465
6200000  -5047.6721779591  5047.48634566118
6300000  -5137.38417844251  5136.63956095386
6400000  -5226.76997546411  5229.00792774778
6500000  -5310.86759484416  5309.21891646922
6600000  -5382.93348095934  5382.59994506582
6700000  -5457.10179048932  5458.26409916288
6800000  -5527.99535739415  5526.33882077624
6900000  -5598.74649227867  5599.01792629337
7000000  -5683.19723029572  5680.57639306931
7100000  -5773.74744220577  5781.41384203476
7200000  -5855.08605595674  5856.74800876832
7300000  -5934.543594953  5931.15847233161
7400000  -5998.46182983728  5998.99730835294
7500000  -6080.75684856668  6078.40117103288
7600000  -6172.36584739143  6169.53604639848
7700000  -6248.52682387603  6249.20425524811
7800000  -6325.25149968409  6325.41358984383
7900000  -6420.74027783899  6425.22684880477
8000000  -6497.52631496332  6499.3427508566
8100000  -6572.75068794928  6575.20213270686
8200000  -6660.46408204619  6655.21124398284
8300000  -6748.69516546486  6747.8473980407
8400000  -6830.30264952227  6828.81982856391
8500000  -6906.61991575715  6909.58890453923
8600000  -6979.00451234232  6978.80576040411
8700000  -7056.5563175262  7055.45332117606
8800000  -7123.22250465955  7127.17145279389
8900000  -7215.7307734535  7213.26130156292
9000000  -7300.38073503422  7296.8517066567
9100000  -7384.08856575573  7382.85233873082
9200000  -7467.60825790604  7467.04533060323
9300000  -7552.826990829  7546.73076716555
9400000  -7639.97362458862  7638.79688558462
9500000  -7731.12576812425  7729.88200972437
9600000  -7825.28221220007  7826.2741693259
9700000  -7893.49212323177  7896.84137722242
9800000  -7980.41331554941  7980.88198752209
9900000  -8049.75638718111  8044.46746673517
10000000  -8129.85682079411  8127.47535658361
