# Chunk-averaged data for fix 11 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
20000000 200 9600
  1 0.0025 48 0
  2 0.0075 48 0
  3 0.0125 48 310.015
  4 0.0175 48 309.931
  5 0.0225 48 308.777
  6 0.0275 48 308.64
  7 0.0325 48 308.075
  8 0.0375 48 307.754
  9 0.0425 48 307.443
  10 0.0475 48 307.766
  11 0.0525 48 308.008
  12 0.0575 48 307.696
  13 0.0625 48 306.998
  14 0.0675 48 306.71
  15 0.0725 48 306.883
  16 0.0775 48 306.861
  17 0.0825 48 306.357
  18 0.0875 48 306.347
  19 0.0925 48 306.699
  20 0.0975 48 307.163
  21 0.1025 48 306.691
  22 0.1075 48 306.41
  23 0.1125 48 306.088
  24 0.1175 48 305.976
  25 0.1225 48 305.549
  26 0.1275 48 305.612
  27 0.1325 48 305.691
  28 0.1375 48 306.028
  29 0.1425 48 305.378
  30 0.1475 48 305.669
  31 0.1525 48 305.259
  32 0.1575 48 305.299
  33 0.1625 48 304.915
  34 0.1675 48 304.914
  35 0.1725 48 304.916
  36 0.1775 47.9999 304.902
  37 0.1825 48.0001 304.317
  38 0.1875 48 304.884
  39 0.1925 48 304.2
  40 0.1975 48 304.246
  41 0.2025 47.9999 303.677
  42 0.2075 47.9992 303.842
  43 0.2125 48.0007 304.299
  44 0.2175 48.0001 304.006
  45 0.2225 48 303.816
  46 0.2275 48 303.283
  47 0.2325 47.9998 303.345
  48 0.2375 47.9973 303.011
  49 0.2425 48.0026 303.619
  50 0.2475 48.0009 303.243
  51 0.2525 48.0003 303.357
  52 0.2575 47.9996 303.384
  53 0.2625 47.999 303.066
  54 0.2675 47.993 303.361
  55 0.2725 48.007 303.352
  56 0.2775 48.0015 303.417
  57 0.2825 48.0001 303.882
  58 0.2875 47.9992 303.562
  59 0.2925 47.9986 303.728
  60 0.2975 47.9897 303.681
  61 0.3025 48.0098 303.419
  62 0.3075 48.0014 303.571
  63 0.3125 48 303.748
  64 0.3175 47.9996 303.965
  65 0.3225 47.9988 304.195
  66 0.3275 47.989 304.081
  67 0.3325 48.0099 303.281
  68 0.3375 48.0015 303.448
  69 0.3425 48.0004 302.953
  70 0.3475 47.9999 303.33
  71 0.3525 47.9985 303.114
  72 0.3575 47.9902 303.452
  73 0.3625 48.0091 303.489
  74 0.3675 48.0017 303.035
  75 0.3725 48.0006 303.348
  76 0.3775 48.0001 303.107
  77 0.3825 47.9994 302.731
  78 0.3875 47.9925 302.447
  79 0.3925 48.0071 302.458
  80 0.3975 48.0011 302.422
  81 0.4025 48.0004 302.679
  82 0.4075 48 302.518
  83 0.4125 47.9996 302.547
  84 0.4175 47.9945 302.118
  85 0.4225 48.005 301.819
  86 0.4275 48.0007 302.224
  87 0.4325 48.0001 302.109
  88 0.4375 47.9999 302.268
  89 0.4425 47.9992 302.328
  90 0.4475 47.994 302.509
  91 0.4525 48.005 302.54
  92 0.4575 48.0012 301.876
  93 0.4625 48.0004 302.299
  94 0.4675 47.9999 301.375
  95 0.4725 47.9989 301.273
  96 0.4775 47.9936 301.264
  97 0.4825 48.0058 302.076
  98 0.4875 48.0013 301.483
  99 0.4925 48.0004 301.722
  100 0.4975 47.9998 301.439
  101 0.5025 47.9985 301.522
  102 0.5075 47.9929 301.732
  103 0.5125 48.006 300.75
  104 0.5175 48.0016 300.764
  105 0.5225 48.0005 300.635
  106 0.5275 47.9998 300.956
